Ano;Mes;Dia;Hora;Min;Temperatura
2021;1;31;1;0;23,5944
2021;1;31;2;0;23,3424
2021;1;31;3;0;23,0747
2021;1;31;4;0;22,8931
2021;1;31;5;0;22,7916
2021;1;31;6;0;22,6121
2021;1;31;7;0;23,6513
2021;1;31;8;0;25,4719
2021;1;31;9;0;27,3164
2021;1;31;10;0;28,7425
2021;1;31;11;0;29,8828
2021;1;31;12;0;30,42
2021;1;31;13;0;30,2866
2021;1;31;14;0;30,2379
2021;1;31;15;0;29,8429
2021;1;31;16;0;29,6105
2021;1;31;17;0;29,055
2021;1;31;18;0;27,9983
2021;1;31;19;0;26,4757
2021;1;31;20;0;25,7094
2021;1;31;21;0;25,2122
2021;1;31;22;0;23,989
2021;1;31;23;0;23,1535
2021;2;1;0;0;22,5404
2021;2;1;1;0;21,9762
2021;2;1;2;0;21,5549
2021;2;1;3;0;21,2327
2021;2;1;4;0;20,8531
2021;2;1;5;0;20,5727
2021;2;1;6;0;21,0696
2021;2;1;7;0;22,4931
2021;2;1;8;0;24,1366
2021;2;1;9;0;25,868
2021;2;1;10;0;27,3409
2021;2;1;11;0;28,4097
2021;2;1;12;0;29,3557
2021;2;1;13;0;30,1629
2021;2;1;14;0;30,7214
2021;2;1;15;0;30,9787
2021;2;1;16;0;31,1664
2021;2;1;17;0;31,1074
2021;2;1;18;0;30,0357
2021;2;1;19;0;28,2915
2021;2;1;20;0;26,7213
2021;2;1;21;0;25,5071
2021;2;1;22;0;24,4791
2021;2;1;23;0;23,5627
2021;2;2;0;0;22,8914
2021;2;2;1;0;22,1799
2021;2;2;2;0;21,719
2021;2;2;3;0;21,3004
2021;2;2;4;0;20,8833
2021;2;2;5;0;20,6528
2021;2;2;6;0;21,2812
2021;2;2;7;0;22,8403
2021;2;2;8;0;24,6059
2021;2;2;9;0;26,3353
2021;2;2;10;0;27,8413
2021;2;2;11;0;29,0128
2021;2;2;12;0;29,8191
2021;2;2;13;0;30,3748
2021;2;2;14;0;30,7283
2021;2;2;15;0;30,8973
2021;2;2;16;0;30,8802
2021;2;2;17;0;30,5296
2021;2;2;18;0;29,354
2021;2;2;19;0;27,8582
2021;2;2;20;0;26,5605
2021;2;2;21;0;25,5911
2021;2;2;22;0;24,661
2021;2;2;23;0;23,7507
2021;2;3;0;0;22,9107
2021;2;3;1;0;22,3128
2021;2;3;2;0;21,8614
2021;2;3;3;0;21,5632
2021;2;3;4;0;21,2143
2021;2;3;5;0;20,9986
2021;2;3;6;0;21,5375
2021;2;3;7;0;23,1058
2021;2;3;8;0;24,8745
2021;2;3;9;0;26,5666
2021;2;3;10;0;28,0339
2021;2;3;11;0;29,1064
2021;2;3;12;0;30,1465
2021;2;3;13;0;30,8713
2021;2;3;14;0;31,3129
2021;2;3;15;0;31,4221
2021;2;3;16;0;31,5284
2021;2;3;17;0;31,2386
2021;2;3;18;0;30,1822
2021;2;3;19;0;28,587
2021;2;3;20;0;27,1958
2021;2;3;21;0;26,0251
2021;2;3;22;0;24,9239
2021;2;3;23;0;24,1134
