Temperatura;Kernel;Modelo;Passo;Coeficientes
2;0;Radial.TmpMedia;75;0,0833333333333333
0;0;Radial.Univariado;75;0,0833333333333333
1;2;RedeNeural.TmpMaxima;75;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;75;0,0833333333333333
2;2;RedeNeural.TmpMedia;75;0,0833333333333333
0;2;RedeNeural.Univariado;75;0,0833333333333333
NA;NA;(Intercept);76;0
1;1;Linear.TmpMaxima;76;0,0833333333333333
3;1;Linear.TmpMaxMin;76;0,0833333333333333
2;1;Linear.TmpMedia;76;0,0833333333333333
0;1;Linear.Univariado;76;0,0833333333333333
1;0;Radial.TmpMaxima;76;0,0833333333333333
3;0;Radial.TmpMaxMin;76;0,0833333333333333
2;0;Radial.TmpMedia;76;0,0833333333333333
0;0;Radial.Univariado;76;0,0833333333333333
1;2;RedeNeural.TmpMaxima;76;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;76;0,0833333333333333
2;2;RedeNeural.TmpMedia;76;0,0833333333333333
0;2;RedeNeural.Univariado;76;0,0833333333333333
NA;NA;(Intercept);77;0
1;1;Linear.TmpMaxima;77;0,0833333333333333
3;1;Linear.TmpMaxMin;77;0,0833333333333333
2;1;Linear.TmpMedia;77;0,0833333333333333
0;1;Linear.Univariado;77;0,0833333333333333
1;0;Radial.TmpMaxima;77;0,0833333333333333
3;0;Radial.TmpMaxMin;77;0,0833333333333333
2;0;Radial.TmpMedia;77;0,0833333333333333
0;0;Radial.Univariado;77;0,0833333333333333
1;2;RedeNeural.TmpMaxima;77;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;77;0,0833333333333333
2;2;RedeNeural.TmpMedia;77;0,0833333333333333
0;2;RedeNeural.Univariado;77;0,0833333333333333
NA;NA;(Intercept);78;0
1;1;Linear.TmpMaxima;78;0,0833333333333333
3;1;Linear.TmpMaxMin;78;0,0833333333333333
2;1;Linear.TmpMedia;78;0,0833333333333333
0;1;Linear.Univariado;78;0,0833333333333333
1;0;Radial.TmpMaxima;78;0,0833333333333333
3;0;Radial.TmpMaxMin;78;0,0833333333333333
2;0;Radial.TmpMedia;78;0,0833333333333333
0;0;Radial.Univariado;78;0,0833333333333333
1;2;RedeNeural.TmpMaxima;78;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;78;0,0833333333333333
2;2;RedeNeural.TmpMedia;78;0,0833333333333333
0;2;RedeNeural.Univariado;78;0,0833333333333333
NA;NA;(Intercept);79;0
1;1;Linear.TmpMaxima;79;0,0833333333333333
3;1;Linear.TmpMaxMin;79;0,0833333333333333
2;1;Linear.TmpMedia;79;0,0833333333333333
0;1;Linear.Univariado;79;0,0833333333333333
1;0;Radial.TmpMaxima;79;0,0833333333333333
3;0;Radial.TmpMaxMin;79;0,0833333333333333
2;0;Radial.TmpMedia;79;0,0833333333333333
0;0;Radial.Univariado;79;0,0833333333333333
1;2;RedeNeural.TmpMaxima;79;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;79;0,0833333333333333
2;2;RedeNeural.TmpMedia;79;0,0833333333333333
0;2;RedeNeural.Univariado;79;0,0833333333333333
NA;NA;(Intercept);80;0
1;1;Linear.TmpMaxima;80;0,0833333333333333
3;1;Linear.TmpMaxMin;80;0,0833333333333333
2;1;Linear.TmpMedia;80;0,0833333333333333
0;1;Linear.Univariado;80;0,0833333333333333
1;0;Radial.TmpMaxima;80;0,0833333333333333
3;0;Radial.TmpMaxMin;80;0,0833333333333333
2;0;Radial.TmpMedia;80;0,0833333333333333
0;0;Radial.Univariado;80;0,0833333333333333
1;2;RedeNeural.TmpMaxima;80;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;80;0,0833333333333333
2;2;RedeNeural.TmpMedia;80;0,0833333333333333
0;2;RedeNeural.Univariado;80;0,0833333333333333
NA;NA;(Intercept);81;0
1;1;Linear.TmpMaxima;81;0,0833333333333333
3;1;Linear.TmpMaxMin;81;0,0833333333333333
2;1;Linear.TmpMedia;81;0,0833333333333333
0;1;Linear.Univariado;81;0,0833333333333333
1;0;Radial.TmpMaxima;81;0,0833333333333333
3;0;Radial.TmpMaxMin;81;0,0833333333333333
2;0;Radial.TmpMedia;81;0,0833333333333333
0;0;Radial.Univariado;81;0,0833333333333333
1;2;RedeNeural.TmpMaxima;81;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;81;0,0833333333333333
2;2;RedeNeural.TmpMedia;81;0,0833333333333333
0;2;RedeNeural.Univariado;81;0,0833333333333333
NA;NA;(Intercept);82;0
1;1;Linear.TmpMaxima;82;0,0833333333333333
3;1;Linear.TmpMaxMin;82;0,0833333333333333
2;1;Linear.TmpMedia;82;0,0833333333333333
