Ano;Mes;Dia;Hora;Min;Carga
2014;1;23;1;0;39597
2014;1;23;2;0;37114,3
2014;1;23;3;0;35613,9
2014;1;23;4;0;34876,8
2014;1;23;5;0;34848,8
2014;1;23;6;0;35642,3
2014;1;23;7;0;37188,2
2014;1;23;8;0;39249,3
2014;1;23;9;0;43007,1
2014;1;23;10;0;45435,5
2014;1;23;11;0;46826,6
2014;1;23;12;0;46667,8
2014;1;23;13;0;46285,3
2014;1;23;14;0;47758
2014;1;23;15;0;48733,5
2014;1;23;16;0;48750,9
2014;1;23;17;0;48068,9
2014;1;23;18;0;45474,3
2014;1;23;19;0;42438,5
2014;1;23;20;0;41449
2014;1;23;21;0;45036,5
2014;1;23;22;0;45962,3
2014;1;23;23;0;45526,2
2014;1;24;0;0;43948,3
2014;1;24;1;0;40583,1
2014;1;24;2;0;37916,5
2014;1;24;3;0;36465,8
2014;1;24;4;0;35684,8
2014;1;24;5;0;35525,2
2014;1;24;6;0;36338
2014;1;24;7;0;37806,6
2014;1;24;8;0;40013,2
2014;1;24;9;0;43653,8
2014;1;24;10;0;46107,2
2014;1;24;11;0;47710,4
2014;1;24;12;0;47430,9
2014;1;24;13;0;46960,8
2014;1;24;14;0;48169
2014;1;24;15;0;48935
2014;1;24;16;0;48739,6
2014;1;24;17;0;47382,6
2014;1;24;18;0;45340,7
2014;1;24;19;0;42032
2014;1;24;20;0;41021,2
2014;1;24;21;0;44159,7
2014;1;24;22;0;44554,1
2014;1;24;23;0;43959,7
2014;1;25;0;0;42692,8
2014;1;25;1;0;39759,7
2014;1;25;2;0;37426,3
2014;1;25;3;0;35848,2
2014;1;25;4;0;35075,2
2014;1;25;5;0;34751,1
2014;1;25;6;0;34661,4
2014;1;25;7;0;34620,8
2014;1;25;8;0;34819,6
2014;1;25;9;0;36661,4
2014;1;25;10;0;38454
2014;1;25;11;0;39582,6
2014;1;25;12;0;39664,3
2014;1;25;13;0;39592,6
2014;1;25;14;0;39555,1
2014;1;25;15;0;39347,2
2014;1;25;16;0;39272,8
2014;1;25;17;0;39052,7
2014;1;25;18;0;38963,2
2014;1;25;19;0;38681,8
2014;1;25;20;0;39445
2014;1;25;21;0;43864,5
2014;1;25;22;0;43642,7
2014;1;25;23;0;42197,1
2014;1;26;0;0;40597,3
2014;1;26;1;0;38122,9
2014;1;26;2;0;35942,3
2014;1;26;3;0;34454,9
2014;1;26;4;0;33387,3
2014;1;26;5;0;32750,9
2014;1;26;6;0;32401,3
2014;1;26;7;0;31588
2014;1;26;8;0;30745,2
2014;1;26;9;0;31887,1
2014;1;26;10;0;32900,5
2014;1;26;11;0;33797,3
2014;1;26;12;0;34291
2014;1;26;13;0;34457,1
2014;1;26;14;0;34288,2
2014;1;26;15;0;34329,4
2014;1;26;16;0;34713,2
2014;1;26;17;0;35165,1
2014;1;26;18;0;35876,8
2014;1;26;19;0;36406,3
2014;1;26;20;0;36859,5
2014;1;26;21;0;41122,3
2014;1;26;22;0;41994,5
2014;1;26;23;0;41742,1
2014;1;27;0;0;39963,2
2014;1;27;1;0;37585,1
2014;1;27;2;0;35513,6
2014;1;27;3;0;34420,7
2014;1;27;4;0;33779,4
2014;1;27;5;0;33771,2
2014;1;27;6;0;34837
2014;1;27;7;0;37027,8
2014;1;27;8;0;39013,8
2014;1;27;9;0;42751
2014;1;27;10;0;45502,1
2014;1;27;11;0;47185,5
2014;1;27;12;0;47208,5
2014;1;27;13;0;46614,1
2014;1;27;14;0;48057,6
2014;1;27;15;0;48874,4
2014;1;27;16;0;49003,1
2014;1;27;17;0;48410,9
2014;1;27;18;0;45598,7
2014;1;27;19;0;42293,5
2014;1;27;20;0;41356,4
2014;1;27;21;0;45595,4
2014;1;27;22;0;46109,1
2014;1;27;23;0;45641,2
2014;1;28;0;0;43996,4
2014;1;28;1;0;40387,1
2014;1;28;2;0;37966,4
2014;1;28;3;0;36592,2
2014;1;28;4;0;35971,7
2014;1;28;5;0;35836,3
2014;1;28;6;0;36726,1
2014;1;28;7;0;38390,3
2014;1;28;8;0;40283,4
2014;1;28;9;0;43889,1
2014;1;28;10;0;46132,1
2014;1;28;11;0;47709,2
2014;1;28;12;0;47810,2
2014;1;28;13;0;47336,4
2014;1;28;14;0;48729,8
2014;1;28;15;0;49433,3
2014;1;28;16;0;49461,3
2014;1;28;17;0;49155,5
2014;1;28;18;0;46494,4
2014;1;28;19;0;42964,3
2014;1;28;20;0;41844
2014;1;28;21;0;46099,3
2014;1;28;22;0;47011
2014;1;28;23;0;46583,1
2014;1;29;0;0;44703,3
2014;1;29;1;0;41002
2014;1;29;2;0;38627,3
2014;1;29;3;0;37361,2
2014;1;29;4;0;36550,9
2014;1;29;5;0;36358,6
2014;1;29;6;0;37114,2
